date,balance,non-trade,cumm_pnl,daily_return,cumm_returns*
2019-09-10,106511.5,100000.0,6511.5,0.0,6.79225
2019-09-11,107821.27,100000.0,7821.27,1.2297,8.02194
2019-09-12,107821.27,100000.0,7821.27,0.0,8.02194
2019-09-13,107821.27,100000.0,7821.27,0.0,8.02194
2019-09-14,107821.27,100000.0,7821.27,0.0,8.02194
2019-09-15,107821.27,100000.0,7821.27,0.0,8.02194
2019-09-16,107761.27,100000.0,7761.27,-0.05565,7.9663
2019-09-17,107505.09,100000.0,7505.09,-0.23773,7.72857
2019-09-18,107535.57,100000.0,7535.57,0.02835,7.75692
2019-09-19,106379.92,100000.0,6379.92,-1.07467,6.68225
2019-09-20,105735.0,100000.0,5735.0,-0.60624,6.07601
2019-09-21,105735.0,100000.0,5735.0,0.0,6.07601
2019-09-22,105735.0,100000.0,5735.0,0.0,6.07601
2019-09-23,104171.9,100000.0,4171.9,-1.47832,4.59769
2019-09-24,113816.2,100000.0,13816.2,9.25806,13.85575
2019-09-25,113816.2,100000.0,13816.2,0.0,13.85575
2019-09-26,114833.83,100000.0,14833.83,0.8941,14.74985
2019-09-27,118215.26,100000.0,18215.26,2.94463,17.69448
2019-09-28,118215.26,100000.0,18215.26,0.0,17.69448
2019-09-29,118215.26,100000.0,18215.26,0.0,17.69448
2019-09-30,119007.37,100000.0,19007.37,0.67006,18.36454
2019-10-01,119007.37,100000.0,19007.37,0.0,18.36454
2019-10-02,119007.37,100000.0,19007.37,0.0,18.36454
2019-10-03,119007.37,100000.0,19007.37,0.0,18.36454
2019-10-04,119007.37,100000.0,19007.37,0.0,18.36454
2019-10-05,119007.37,100000.0,19007.37,0.0,18.36454
2019-10-06,119007.37,100000.0,19007.37,0.0,18.36454
2019-10-07,117555.01,100000.0,17555.01,-1.2204,17.14414
2019-10-08,116638.51,100000.0,16638.51,-0.77963,16.36451
2019-10-09,116404.18,100000.0,16404.18,-0.2009,16.16361
2019-10-10,117484.17,100000.0,17484.17,0.92779,17.0914
2019-10-11,117484.17,100000.0,17484.17,0.0,17.0914
2019-10-12,117484.17,100000.0,17484.17,0.0,17.0914
2019-10-13,117484.17,100000.0,17484.17,0.0,17.0914
2019-10-14,116205.25,100000.0,16205.25,-1.08859,16.00281
2019-10-15,116205.25,100000.0,16205.25,0.0,16.00281
2019-10-16,116870.73,100000.0,16870.73,0.57268,16.57549
2019-10-17,116896.45,100000.0,16896.45,0.02201,16.59749
2019-10-18,118357.05,100000.0,18357.05,1.24948,17.84698
2019-10-19,118357.05,100000.0,18357.05,0.0,17.84698
2019-10-20,118357.05,100000.0,18357.05,0.0,17.84698
2019-10-21,116353.99,100000.0,16353.99,-1.69239,16.15459
2019-10-22,116353.99,100000.0,16353.99,0.0,16.15459
2019-10-23,122887.26,100000.0,22887.26,5.61499,21.76958
2019-10-24,123043.58,100000.0,23043.58,0.12721,21.89679
2019-10-25,119819.2,100000.0,19819.2,-2.62052,19.27627
2019-10-26,119819.2,100000.0,19819.2,0.0,19.27627
2019-10-27,119819.2,100000.0,19819.2,0.0,19.27627
2019-10-28,123967.45,100000.0,23967.45,3.46209,22.73836
2019-10-29,124345.38,100000.0,24345.38,0.30486,23.04322
2019-10-30,124521.86,100000.0,24521.86,0.14193,23.18515
2019-10-31,124650.95,100000.0,24650.95,0.10367,23.28882
2019-11-01,125759.82,100000.0,25759.82,0.88958,24.1784
2019-11-02,125759.82,100000.0,25759.82,0.0,24.1784
2019-11-03,125759.82,100000.0,25759.82,0.0,24.1784
2019-11-04,125759.82,100000.0,25759.82,0.0,24.1784
2019-11-05,126314.2,100000.0,26314.2,0.44082,24.61922
2019-11-06,126314.2,100000.0,26314.2,0.0,24.61922
2019-11-07,125010.32,100000.0,25010.32,-1.03225,23.58697
2019-11-08,125490.2,100000.0,25490.2,0.38387,23.97085
2019-11-09,125490.2,100000.0,25490.2,0.0,23.97085
2019-11-10,125490.2,100000.0,25490.2,0.0,23.97085
2019-11-11,124036.38,100000.0,24036.38,-1.15851,22.81233
2019-11-12,123498.6,100000.0,23498.6,-0.43357,22.37877
2019-11-13,125694.11,100000.0,25694.11,1.77776,24.15653
2019-11-14,125539.59,100000.0,25539.59,-0.12293,24.03359
2019-11-15,124715.72,100000.0,24715.72,-0.65626,23.37733
2019-11-16,124715.72,100000.0,24715.72,0.0,23.37733
2019-11-17,124715.72,100000.0,24715.72,0.0,23.37733
2019-11-18,124810.92,100000.0,24810.92,0.07633,23.45366
2019-11-19,125312.61,100000.0,25312.61,0.40196,23.85562
2019-11-20,127689.24,100000.0,27689.24,1.89656,25.75219
2019-11-21,129935.36,100000.0,29935.36,1.75905,27.51124
2019-11-22,138680.66,100000.0,38680.66,6.7305,34.24174
2019-11-23,138680.66,100000.0,38680.66,0.0,34.24174
2019-11-24,138680.66,100000.0,38680.66,0.0,34.24174
2019-11-25,139705.72,100000.0,39705.72,0.73915,34.98089
2019-11-26,141417.47,100000.0,41417.47,1.22525,36.20614
2019-11-27,141838.16,100000.0,41838.16,0.29748,36.50362
2019-11-28,141838.16,100000.0,41838.16,0.0,36.50362
2019-11-29,141838.16,100000.0,41838.16,0.0,36.50362
2019-11-30,141838.16,100000.0,41838.16,0.0,36.50362
2019-12-01,141838.16,100000.0,41838.16,0.0,36.50362
2019-12-02,141838.16,100000.0,41838.16,0.0,36.50362
2019-12-03,141761.59,100000.0,41761.59,-0.05398,36.44964
2019-12-04,139626.88,100000.0,39626.88,-1.50585,34.94379
2019-12-05,137934.31,100000.0,37934.31,-1.21221,33.73159
2019-12-06,137934.31,100000.0,37934.31,0.0,33.73159
2019-12-07,137934.31,100000.0,37934.31,0.0,33.73159
2019-12-08,137934.31,100000.0,37934.31,0.0,33.73159
2019-12-09,136733.02,100000.0,36733.02,-0.87091,32.86067
2019-12-10,136888.78,100000.0,36888.78,0.11392,32.97459
2019-12-11,136888.78,100000.0,36888.78,0.0,32.97459
2019-12-12,136705.81,100000.0,36705.81,-0.13366,32.84092
2019-12-13,136868.83,100000.0,36868.83,0.11925,32.96017
2019-12-14,136868.83,100000.0,36868.83,0.0,32.96017
2019-12-15,136868.83,100000.0,36868.83,0.0,32.96017
2019-12-16,140128.73,100000.0,40128.73,2.38177,35.34194
2019-12-17,145155.27,100000.0,45155.27,3.58709,38.92903
2019-12-18,140821.6,100000.0,40821.6,-2.98554,35.94349
2019-12-19,141689.86,100000.0,41689.86,0.61657,36.56005
2019-12-20,141689.86,100000.0,41689.86,0.0,36.56005
2019-12-21,141689.86,100000.0,41689.86,0.0,36.56005
2019-12-22,141689.86,100000.0,41689.86,0.0,36.56005
2019-12-23,146817.27,100000.0,46817.27,3.61876,40.17881
2019-12-24,145985.67,100000.0,45985.67,-0.56642,39.61239
